"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-12","0.00","53","65","40"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-13","0.00","53","69","37"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-14","0.00","63","76","50"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-15","0.00","62","76","47"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-16","0.00","60","74","45"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-19","0.00","64","80","48"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-20","0.00","73","88","57"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-21","0.00","78","90","65"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-22","0.01","75","83","67"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-23","0.07","55","67","42"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-24","0.00","54","69","39"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-25","0.03","65","81","49"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-26","0.01","78","88","67"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-27","0.00","53","67","40"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-28","0.00","47","58","36"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-29","0.00","50","65","36"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-30","0.09","54","68","40"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-05-31","0.00","58","68","48"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-01","0.01","62","77","47"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-02","0.00","67","82","52"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-03","0.20","64","68","61"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-04","0.00","72","83","62"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-05","0.04","72","82","63"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-06","0.00","78","91","65"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-07","0.00","84","94","73"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-08","0.00","82","89","74"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-09","0.00","74","87","62"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-10","0.00","62","73","50"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-11","0.00","67","77","57"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-12","0.00","66","82","51"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-13","0.06","70","85","56"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-14","0.33","69","76","62"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-15","0.00","66","79","54"
"CA007027329","MONTREAL ST HUBERT, QC CA","2021-06-16","0.00","62","73","52"
